"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1783",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
"1517",8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,6
"550",7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
"352",7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
"485",6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
"1947",6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9,6
"1264",9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6
"74",8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6
"1841",6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
"2760",7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6
"662",6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7
"1369",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
"1777",6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
"4568",5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
"3571",6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
"832",7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
"2432",6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5
"3873",7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,4
"1853",6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,7
"1886",7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
"4532",7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,6
"3736",6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,6
"2662",7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
"3060",8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
"4207",5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
"4460",5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,5
"508",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
"1857",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"1908",7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7
"4681",6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
"2233",8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6
"3764",6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,5
"1568",7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
"1413",6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3,8
"3341",6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
"3005",6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,6
"1155",7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4
"2635",8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
"709",7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6
"1600",6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
"2511",6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
"2464",7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7
"3344",6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,7
"2571",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
"3103",6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6
"1076",6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7
"1640",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
"165",6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5
"2128",9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5
"651",7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
"1301",9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6
"3746",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"1903",8.8,0.23,0.35,10.7,0.04,26,183,0.9984,2.93,0.49,9.1,6
"219",5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5
"2240",6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
"1542",7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
"3305",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
"2236",6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
"4734",5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6
"3914",7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1,6
"619",7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
"39",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
"1180",7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5
"46",7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
"2420",6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
"1450",6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
"4060",6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
"877",6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9
"606",6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
"4274",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"3052",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
"870",7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6
"2205",7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5
"2840",5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7
"2618",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
"980",6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
"368",6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
"834",6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6
"4717",5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
"4023",7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
"4471",4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6
"4214",6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
"931",7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
"2898",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
"3508",7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7
"3093",7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
"3970",6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
"468",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
"460",6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
"2615",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
"1156",7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
"2941",7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
"3478",7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7
"3010",6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
"2122",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
"192",6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
"1653",8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4
"981",6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6
"445",6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6
"498",6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6
"1226",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6
"95",7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
"2882",7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7
"4071",6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,5
"3426",7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
"3262",6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,5
"728",7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5
"3921",7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6
"4504",5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7
"289",7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
"4577",5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5
"303",6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
"166",7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
"1108",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
"23",6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
"1342",7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
"4215",7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
"343",6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
"4386",6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
"2265",6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
"2323",6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6
"2564",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
"2359",7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
"2771",6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
"3057",6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
"3532",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
"2945",7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
"3997",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
"3593",5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7
"4321",6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
"2110",7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
"2238",6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
"4461",6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
"3025",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
"2472",5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
"1220",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
"4286",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"2866",5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6
"3752",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5
"2537",6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
"3941",6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
"3165",7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6
"4592",7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6
"2780",6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
"3790",6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6
"1555",7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7
"2682",7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
"448",6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
"1011",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
"3064",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"1010",8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6
"4889",6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,5
"4820",5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6
"3613",6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
"2647",5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
"2789",6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4,5
"1669",7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7
"1800",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"4653",6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5
"3843",7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6
"2508",7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7
"3555",8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6
"3372",6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6
"462",7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
"792",5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
"3323",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
"4155",6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,5
"4200",8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
"3994",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
"4373",7.1,0.23,0.23,3.5,0.038,23,112,0.99157,3.05,0.37,11.3666666666667,6
"3782",7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,6
"2843",5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,6
"1916",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"1780",6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
"4074",6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5
"3154",5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
"1833",7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
"4528",6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
"3530",7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
"1310",9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6
"2535",6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
"707",6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5
"1094",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
"3279",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
"482",5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
"630",5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6
"471",8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
"3255",7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
"4038",7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5
"2905",6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,7
"2897",7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5
"1810",8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
"3722",7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5
"1135",7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5
"1714",6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
"341",7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7
"239",7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7
"923",7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
"4270",7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5
"681",6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5
"3050",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
"75",6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
"4236",6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
"4706",5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6
"4871",6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,7
"4625",6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
"2546",7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6
"2973",6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
"487",6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6
"2702",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
"4362",6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12,6
"2579",5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
"3651",6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,4
"2047",8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5
"594",6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
"1357",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
"1702",7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5
"2102",6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
"41",6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
"442",6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
"4006",6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
"2804",5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8
"1410",7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6,6
"4801",6,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6,7
"1529",7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
"142",7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
"4054",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"430",7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
"3550",6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
"882",8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
"4338",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
"3579",6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
"543",5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
"2075",6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
"2736",6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
"599",5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
"2369",7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
"1559",6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
"1343",8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
"4066",6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8
"1055",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
"4264",7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,6
"3439",6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5
"1831",7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
"971",5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
"4201",8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6
"1190",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
