"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"874",9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
"1133",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
"82",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
"1381",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
"703",7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
"1161",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
"801",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
"1265",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6
"753",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5
"575",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
"1488",6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
"1321",9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5
"1110",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
"1039",8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
"103",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
"1301",5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6
"1487",6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
"1327",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"1068",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
"300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
"311",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
"228",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
"104",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
"184",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
"1287",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
"1418",7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7
"87",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"1080",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
"1586",7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
"1539",6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
"397",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
"1403",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
"1483",7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4
"488",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
"232",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
"1336",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
"1055",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
"1353",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
"823",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
"642",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
"1578",6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6
"708",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
"848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
"1470",7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
"1250",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
"1033",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5
"639",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
"1546",6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6
"247",7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
"1360",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6
"819",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5
"1279",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"1484",8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5
"1576",7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6
"1297",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
"1283",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
"751",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
"864",7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
"557",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
"759",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
"452",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
"121",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
"656",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5
"1592",5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6
"664",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6
"3",7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
"260",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
"507",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7
"1312",6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6
"41",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
"651",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
"850",6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
"782",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
"1031",7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7
"1109",8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
"1158",5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7
"40",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
"1421",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
"1122",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
"149",6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
"1270",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
"307",7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5
"448",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5
"1113",7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
"1091",10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8
"271",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
"360",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
"1551",7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5
"1151",8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
"48",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
"60",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
"640",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
"917",5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5
"547",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
"402",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6
"1083",7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
"1563",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
"567",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
"252",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"612",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
"738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
"1561",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
"492",9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
"1294",7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
"694",9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5
"373",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
"983",7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
"868",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
"1119",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
"1114",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6
"530",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
"625",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"1193",7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7
"308",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
"1219",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6
"1214",9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6
"416",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5
"482",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
"720",7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
"841",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
"989",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
"1200",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6
"1170",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6
"346",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
"1262",6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
"1496",7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6
"1346",8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,6
"39",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
"1065",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
"1344",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"683",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
"998",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
"1533",7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
"698",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
"487",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
"1404",7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8
"1125",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4
"1497",7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
"1436",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
"196",7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
"1225",12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,6
"1097",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
"106",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
"1341",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"633",7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6
"177",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
"1590",6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
"1528",7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6
"1233",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
"524",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5
"866",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5
"123",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
"725",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4
"69",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
"413",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5
"1577",8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6
"1088",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
"1580",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7
"8",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
"453",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
"329",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
"1180",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
"665",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5
"541",9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5
"1451",7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
"571",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6
"580",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
"1581",7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6
"906",9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5
"124",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
"1096",9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
"214",8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5
"10",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
"1013",7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5
"1530",7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
"731",9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5
"1008",9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
"296",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
"645",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
"670",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
"159",7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
"230",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"238",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
"696",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
"179",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
"436",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
"597",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6
"1029",7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
"773",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
"227",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
"502",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
"1365",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6
"255",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"326",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
"171",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
"1306",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
"74",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
"1154",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6
"101",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
"1366",7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,5
"1224",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6
"537",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
